================== Backpack PROBLEM - INPUT ====================
Number of objects=200
        [id=1, value=835, weight=735]
        [id=66, value=232, weight=132]
        [id=67, value=464, weight=264]
        [id=68, value=696, weight=396]
        [id=69, value=1099, weight=999]
        [id=70, value=1099, weight=999]
        [id=71, value=1029, weight=929]
        [id=72, value=2058, weight=1858]
        [id=73, value=4116, weight=3716]
        [id=74, value=139, weight=39]
        [id=75, value=297, weight=197]
        [id=76, value=602, weight=502]
        [id=77, value=602, weight=502]
        [id=78, value=461, weight=361]
        [id=79, value=922, weight=722]
        [id=80, value=461, weight=361]
        [id=81, value=231, weight=131]
        [id=82, value=462, weight=262]
        [id=83, value=924, weight=524]
        [id=84, value=895, weight=795]
        [id=85, value=1790, weight=1590]
        [id=86, value=1790, weight=1590]
        [id=87, value=888, weight=788]
        [id=88, value=1776, weight=1576]
        [id=89, value=2664, weight=2364]
        [id=90, value=575, weight=475]
        [id=91, value=1150, weight=950]
        [id=92, value=2300, weight=1900]
        [id=93, value=524, weight=424]
        [id=94, value=1048, weight=848]
        [id=95, value=1572, weight=1272]
        [id=96, value=1063, weight=963]
        [id=97, value=2126, weight=1926]
        [id=98, value=1063, weight=963]
        [id=99, value=912, weight=812]
        [id=100, value=1824, weight=1624]
        [id=101, value=3648, weight=3248]
        [id=102, value=2736, weight=2436]
        [id=103, value=1095, weight=995]
        [id=104, value=2190, weight=1990]
        [id=105, value=3285, weight=2985]
        [id=106, value=1042, weight=942]
        [id=107, value=2084, weight=1884]
        [id=108, value=2084, weight=1884]
        [id=109, value=770, weight=670]
        [id=110, value=1540, weight=1340]
        [id=111, value=3080, weight=2680]
        [id=112, value=973, weight=873]
        [id=113, value=1946, weight=1746]
        [id=114, value=1017, weight=917]
        [id=115, value=697, weight=597]
        [id=116, value=1394, weight=1194]
        [id=117, value=2788, weight=2388]
        [id=118, value=697, weight=597]
        [id=119, value=586, weight=486]
        [id=120, value=1172, weight=972]
        [id=121, value=1758, weight=1458]
        [id=122, value=734, weight=634]
        [id=123, value=1468, weight=1268]
        [id=124, value=2936, weight=2536]
        [id=125, value=734, weight=634]
        [id=126, value=437, weight=337]
        [id=127, value=874, weight=674]
        [id=128, value=437, weight=337]
        [id=129, value=365, weight=265]
        [id=130, value=365, weight=265]
        [id=131, value=794, weight=694]
        [id=132, value=1588, weight=1388]
        [id=133, value=2382, weight=2082]
        [id=134, value=987, weight=887]
        [id=135, value=1974, weight=1774]
        [id=136, value=1974, weight=1774]
        [id=137, value=258, weight=158]
        [id=138, value=258, weight=158]
        [id=139, value=907, weight=807]
        [id=140, value=1814, weight=1614]
        [id=141, value=3628, weight=3228]
        [id=142, value=2721, weight=2421]
        [id=143, value=304, weight=204]
        [id=144, value=608, weight=408]
        [id=145, value=1216, weight=816]
        [id=146, value=912, weight=612]
        [id=147, value=575, weight=475]
        [id=148, value=1150, weight=950]
        [id=149, value=2300, weight=1900]
        [id=150, value=1725, weight=1425]
        [id=151, value=300, weight=200]
        [id=152, value=600, weight=400]
        [id=153, value=979, weight=879]
        [id=154, value=1958, weight=1758]
        [id=155, value=220, weight=120]
        [id=156, value=440, weight=240]
        [id=157, value=660, weight=360]
        [id=158, value=958, weight=858]
        [id=159, value=1916, weight=1716]
        [id=160, value=3832, weight=3432]
        [id=161, value=303, weight=203]
        [id=162, value=606, weight=406]
        [id=163, value=606, weight=406]
        [id=164, value=789, weight=689]
        [id=165, value=789, weight=689]
        [id=166, value=832, weight=732]
        [id=167, value=1664, weight=1464]
        [id=168, value=982, weight=882]
        [id=169, value=851, weight=751]
        [id=170, value=1702, weight=1502]
        [id=171, value=3404, weight=3004]
        [id=172, value=686, weight=586]
        [id=173, value=1372, weight=1172]
        [id=174, value=543, weight=443]
        [id=175, value=543, weight=443]
        [id=176, value=303, weight=203]
        [id=177, value=606, weight=406]
        [id=178, value=909, weight=609]
        [id=179, value=864, weight=764]
        [id=180, value=1728, weight=1528]
        [id=181, value=3456, weight=3056]
        [id=182, value=864, weight=764]
        [id=183, value=522, weight=422]
        [id=184, value=1044, weight=844]
        [id=185, value=2088, weight=1688]
        [id=186, value=1044, weight=844]
        [id=187, value=703, weight=603]
        [id=188, value=1406, weight=1206]
        [id=189, value=2812, weight=2412]
        [id=190, value=2109, weight=1809]
        [id=191, value=1021, weight=921]
        [id=192, value=2042, weight=1842]
        [id=193, value=4084, weight=3684]
        [id=194, value=2042, weight=1842]
        [id=195, value=753, weight=653]
        [id=196, value=1506, weight=1306]
        [id=197, value=3012, weight=2612]
        [id=198, value=2259, weight=1959]
        [id=199, value=801, weight=701]
        [id=200, value=1602, weight=1402]
Maximum weight=112648
=================== Backpack SOLUTION 1=============================
Number of objects=97
        [id=130, value=365, weight=265]
        [id=165, value=789, weight=689]
        [id=32, value=1086, weight=986]
        [id=129, value=365, weight=265]
        [id=179, value=864, weight=764]
        [id=103, value=1095, weight=995]
        [id=176, value=303, weight=203]
        [id=51, value=1382, weight=1182]
        [id=160, value=3832, weight=3432]
        [id=85, value=1790, weight=1590]
        [id=69, value=1099, weight=999]
        [id=16, value=495, weight=195]
        [id=21, value=984, weight=884]
        [id=191, value=1021, weight=921]
        [id=134, value=987, weight=887]
        [id=8, value=2068, weight=1668]
        [id=186, value=1044, weight=844]
        [id=79, value=922, weight=722]
        [id=31, value=1086, weight=986]
        [id=66, value=232, weight=132]
        [id=145, value=1216, weight=816]
        [id=148, value=1150, weight=950]
        [id=150, value=1725, weight=1425]
        [id=123, value=1468, weight=1268]
        [id=157, value=660, weight=360]
        [id=3, value=3340, weight=2940]
        [id=135, value=1974, weight=1774]
        [id=70, value=1099, weight=999]
        [id=116, value=1394, weight=1194]
        [id=161, value=303, weight=203]
        [id=84, value=895, weight=795]
        [id=156, value=440, weight=240]
        [id=11, value=1260, weight=1060]
        [id=178, value=909, weight=609]
        [id=147, value=575, weight=475]
        [id=196, value=1506, weight=1306]
        [id=56, value=2114, weight=1914]
        [id=26, value=3316, weight=2916]
        [id=77, value=602, weight=502]
        [id=88, value=1776, weight=1576]
        [id=42, value=3552, weight=3152]
        [id=74, value=139, weight=39]
        [id=99, value=912, weight=812]
        [id=48, value=472, weight=372]
        [id=146, value=912, weight=612]
        [id=141, value=3628, weight=3228]
        [id=2, value=1670, weight=1470]
        [id=82, value=462, weight=262]
        [id=163, value=606, weight=406]
        [id=71, value=1029, weight=929]
        [id=131, value=794, weight=694]
        [id=39, value=3580, weight=3180]
        [id=185, value=2088, weight=1688]
        [id=94, value=1048, weight=848]
        [id=43, value=2664, weight=2364]
        [id=136, value=1974, weight=1774]
        [id=180, value=1728, weight=1528]
        [id=7, value=1034, weight=834]
        [id=193, value=4084, weight=3684]
        [id=87, value=888, weight=788]
        [id=113, value=1946, weight=1746]
        [id=167, value=1664, weight=1464]
        [id=14, value=165, weight=65]
        [id=119, value=586, weight=486]
        [id=20, value=1326, weight=1126]
        [id=27, value=829, weight=729]
        [id=122, value=734, weight=634]
        [id=72, value=2058, weight=1858]
        [id=151, value=300, weight=200]
        [id=142, value=2721, weight=2421]
        [id=54, value=1052, weight=952]
        [id=132, value=1588, weight=1388]
        [id=15, value=330, weight=130]
        [id=86, value=1790, weight=1590]
        [id=140, value=1814, weight=1614]
        [id=91, value=1150, weight=950]
        [id=12, value=1260, weight=1060]
        [id=49, value=944, weight=744]
        [id=139, value=907, weight=807]
        [id=200, value=1602, weight=1402]
        [id=62, value=1953, weight=1653]
        [id=108, value=2084, weight=1884]
        [id=172, value=686, weight=586]
        [id=18, value=663, weight=563]
        [id=166, value=832, weight=732]
        [id=73, value=4116, weight=3716]
        [id=190, value=2109, weight=1809]
        [id=171, value=3404, weight=3004]
        [id=187, value=703, weight=603]
        [id=46, value=928, weight=528]
        [id=164, value=789, weight=689]
        [id=189, value=2812, weight=2412]
        [id=168, value=982, weight=882]
        [id=65, value=1042, weight=942]
        [id=45, value=464, weight=264]
        [id=155, value=220, weight=120]
        [id=47, value=464, weight=264]
Value=131812
Weight=112612
Execution Time:7832038 ns
=================== Backpack SOLUTION 2=============================
Number of objects=102
        [id=29, value=1326, weight=1126]
        [id=177, value=606, weight=406]
        [id=137, value=258, weight=158]
        [id=40, value=888, weight=788]
        [id=189, value=2812, weight=2412]
        [id=25, value=1658, weight=1458]
        [id=112, value=973, weight=873]
        [id=127, value=874, weight=674]
        [id=52, value=2764, weight=2364]
        [id=86, value=1790, weight=1590]
        [id=66, value=232, weight=132]
        [id=156, value=440, weight=240]
        [id=190, value=2109, weight=1809]
        [id=41, value=1776, weight=1576]
        [id=119, value=586, weight=486]
        [id=9, value=1034, weight=834]
        [id=134, value=987, weight=887]
        [id=56, value=2114, weight=1914]
        [id=12, value=1260, weight=1060]
        [id=90, value=575, weight=475]
        [id=140, value=1814, weight=1614]
        [id=62, value=1953, weight=1653]
        [id=197, value=3012, weight=2612]
        [id=47, value=464, weight=264]
        [id=101, value=3648, weight=3248]
        [id=123, value=1468, weight=1268]
        [id=83, value=924, weight=524]
        [id=96, value=1063, weight=963]
        [id=198, value=2259, weight=1959]
        [id=93, value=524, weight=424]
        [id=38, value=1790, weight=1590]
        [id=192, value=2042, weight=1842]
        [id=122, value=734, weight=634]
        [id=84, value=895, weight=795]
        [id=179, value=864, weight=764]
        [id=199, value=801, weight=701]
        [id=45, value=464, weight=264]
        [id=166, value=832, weight=732]
        [id=191, value=1021, weight=921]
        [id=196, value=1506, weight=1306]
        [id=180, value=1728, weight=1528]
        [id=68, value=696, weight=396]
        [id=81, value=231, weight=131]
        [id=172, value=686, weight=586]
        [id=124, value=2936, weight=2536]
        [id=11, value=1260, weight=1060]
        [id=161, value=303, weight=203]
        [id=105, value=3285, weight=2985]
        [id=57, value=2114, weight=1914]
        [id=150, value=1725, weight=1425]
        [id=3, value=3340, weight=2940]
        [id=153, value=979, weight=879]
        [id=46, value=928, weight=528]
        [id=154, value=1958, weight=1758]
        [id=1, value=835, weight=735]
        [id=118, value=697, weight=597]
        [id=128, value=437, weight=337]
        [id=53, value=1052, weight=952]
        [id=176, value=303, weight=203]
        [id=69, value=1099, weight=999]
        [id=169, value=851, weight=751]
        [id=23, value=2952, weight=2652]
        [id=35, value=2556, weight=2156]
        [id=158, value=958, weight=858]
        [id=186, value=1044, weight=844]
        [id=163, value=606, weight=406]
        [id=33, value=639, weight=539]
        [id=195, value=753, weight=653]
        [id=181, value=3456, weight=3056]
        [id=4, value=1087, weight=987]
        [id=160, value=3832, weight=3432]
        [id=75, value=297, weight=197]
        [id=110, value=1540, weight=1340]
        [id=91, value=1150, weight=950]
        [id=74, value=139, weight=39]
        [id=28, value=663, weight=563]
        [id=94, value=1048, weight=848]
        [id=188, value=1406, weight=1206]
        [id=114, value=1017, weight=917]
        [id=26, value=3316, weight=2916]
        [id=31, value=1086, weight=986]
        [id=79, value=922, weight=722]
        [id=61, value=1302, weight=1102]
        [id=99, value=912, weight=812]
        [id=16, value=495, weight=195]
        [id=21, value=984, weight=884]
        [id=152, value=600, weight=400]
        [id=133, value=2382, weight=2082]
        [id=148, value=1150, weight=950]
        [id=97, value=2126, weight=1926]
        [id=102, value=2736, weight=2436]
        [id=6, value=517, weight=417]
        [id=54, value=1052, weight=952]
        [id=95, value=1572, weight=1272]
        [id=24, value=829, weight=729]
        [id=44, value=232, weight=132]
        [id=106, value=1042, weight=942]
        [id=5, value=1087, weight=987]
        [id=58, value=456, weight=356]
        [id=164, value=789, weight=689]
        [id=129, value=365, weight=265]
        [id=14, value=165, weight=65]
Value=131843
Weight=112643
Execution Time:5106178 ns
=================== Backpack SOLUTION 3=============================
Number of objects=103
        [id=11, value=1260, weight=1060]
        [id=162, value=606, weight=406]
        [id=92, value=2300, weight=1900]
        [id=118, value=697, weight=597]
        [id=19, value=1326, weight=1126]
        [id=157, value=660, weight=360]
        [id=70, value=1099, weight=999]
        [id=143, value=304, weight=204]
        [id=56, value=2114, weight=1914]
        [id=125, value=734, weight=634]
        [id=200, value=1602, weight=1402]
        [id=160, value=3832, weight=3432]
        [id=185, value=2088, weight=1688]
        [id=29, value=1326, weight=1126]
        [id=124, value=2936, weight=2536]
        [id=177, value=606, weight=406]
        [id=31, value=1086, weight=986]
        [id=39, value=3580, weight=3180]
        [id=13, value=1071, weight=971]
        [id=21, value=984, weight=884]
        [id=33, value=639, weight=539]
        [id=96, value=1063, weight=963]
        [id=182, value=864, weight=764]
        [id=127, value=874, weight=674]
        [id=78, value=461, weight=361]
        [id=184, value=1044, weight=844]
        [id=193, value=4084, weight=3684]
        [id=60, value=651, weight=551]
        [id=58, value=456, weight=356]
        [id=22, value=1968, weight=1768]
        [id=77, value=602, weight=502]
        [id=66, value=232, weight=132]
        [id=181, value=3456, weight=3056]
        [id=105, value=3285, weight=2985]
        [id=71, value=1029, weight=929]
        [id=48, value=472, weight=372]
        [id=190, value=2109, weight=1809]
        [id=80, value=461, weight=361]
        [id=86, value=1790, weight=1590]
        [id=62, value=1953, weight=1653]
        [id=74, value=139, weight=39]
        [id=10, value=630, weight=530]
        [id=53, value=1052, weight=952]
        [id=17, value=176, weight=76]
        [id=178, value=909, weight=609]
        [id=99, value=912, weight=812]
        [id=6, value=517, weight=417]
        [id=93, value=524, weight=424]
        [id=110, value=1540, weight=1340]
        [id=65, value=1042, weight=942]
        [id=87, value=888, weight=788]
        [id=37, value=895, weight=795]
        [id=188, value=1406, weight=1206]
        [id=115, value=697, weight=597]
        [id=89, value=2664, weight=2364]
        [id=101, value=3648, weight=3248]
        [id=90, value=575, weight=475]
        [id=133, value=2382, weight=2082]
        [id=153, value=979, weight=879]
        [id=142, value=2721, weight=2421]
        [id=54, value=1052, weight=952]
        [id=5, value=1087, weight=987]
        [id=9, value=1034, weight=834]
        [id=61, value=1302, weight=1102]
        [id=158, value=958, weight=858]
        [id=168, value=982, weight=882]
        [id=83, value=924, weight=524]
        [id=151, value=300, weight=200]
        [id=109, value=770, weight=670]
        [id=152, value=600, weight=400]
        [id=102, value=2736, weight=2436]
        [id=23, value=2952, weight=2652]
        [id=128, value=437, weight=337]
        [id=59, value=912, weight=712]
        [id=84, value=895, weight=795]
        [id=154, value=1958, weight=1758]
        [id=114, value=1017, weight=917]
        [id=46, value=928, weight=528]
        [id=179, value=864, weight=764]
        [id=116, value=1394, weight=1194]
        [id=196, value=1506, weight=1306]
        [id=145, value=1216, weight=816]
        [id=51, value=1382, weight=1182]
        [id=52, value=2764, weight=2364]
        [id=76, value=602, weight=502]
        [id=111, value=3080, weight=2680]
        [id=144, value=608, weight=408]
        [id=100, value=1824, weight=1624]
        [id=147, value=575, weight=475]
        [id=55, value=1057, weight=957]
        [id=72, value=2058, weight=1858]
        [id=94, value=1048, weight=848]
        [id=156, value=440, weight=240]
        [id=69, value=1099, weight=999]
        [id=129, value=365, weight=265]
        [id=170, value=1702, weight=1502]
        [id=50, value=691, weight=591]
        [id=85, value=1790, weight=1590]
        [id=67, value=464, weight=264]
        [id=16, value=495, weight=195]
        [id=123, value=1468, weight=1268]
        [id=68, value=696, weight=396]
        [id=14, value=165, weight=65]
Value=132197
Weight=112597
Execution Time:2440188 ns
=================== Backpack SOLUTION 4=============================
Number of objects=107
        [id=67, value=464, weight=264]
        [id=184, value=1044, weight=844]
        [id=99, value=912, weight=812]
        [id=117, value=2788, weight=2388]
        [id=13, value=1071, weight=971]
        [id=14, value=165, weight=65]
        [id=42, value=3552, weight=3152]
        [id=29, value=1326, weight=1126]
        [id=20, value=1326, weight=1126]
        [id=27, value=829, weight=729]
        [id=141, value=3628, weight=3228]
        [id=151, value=300, weight=200]
        [id=148, value=1150, weight=950]
        [id=166, value=832, weight=732]
        [id=101, value=3648, weight=3248]
        [id=192, value=2042, weight=1842]
        [id=135, value=1974, weight=1774]
        [id=126, value=437, weight=337]
        [id=156, value=440, weight=240]
        [id=1, value=835, weight=735]
        [id=199, value=801, weight=701]
        [id=61, value=1302, weight=1102]
        [id=194, value=2042, weight=1842]
        [id=79, value=922, weight=722]
        [id=137, value=258, weight=158]
        [id=188, value=1406, weight=1206]
        [id=38, value=1790, weight=1590]
        [id=185, value=2088, weight=1688]
        [id=162, value=606, weight=406]
        [id=76, value=602, weight=502]
        [id=175, value=543, weight=443]
        [id=104, value=2190, weight=1990]
        [id=140, value=1814, weight=1614]
        [id=28, value=663, weight=563]
        [id=72, value=2058, weight=1858]
        [id=24, value=829, weight=729]
        [id=18, value=663, weight=563]
        [id=80, value=461, weight=361]
        [id=21, value=984, weight=884]
        [id=200, value=1602, weight=1402]
        [id=173, value=1372, weight=1172]
        [id=158, value=958, weight=858]
        [id=103, value=1095, weight=995]
        [id=157, value=660, weight=360]
        [id=161, value=303, weight=203]
        [id=146, value=912, weight=612]
        [id=30, value=1989, weight=1689]
        [id=108, value=2084, weight=1884]
        [id=95, value=1572, weight=1272]
        [id=83, value=924, weight=524]
        [id=145, value=1216, weight=816]
        [id=90, value=575, weight=475]
        [id=150, value=1725, weight=1425]
        [id=96, value=1063, weight=963]
        [id=77, value=602, weight=502]
        [id=170, value=1702, weight=1502]
        [id=98, value=1063, weight=963]
        [id=82, value=462, weight=262]
        [id=89, value=2664, weight=2364]
        [id=122, value=734, weight=634]
        [id=57, value=2114, weight=1914]
        [id=16, value=495, weight=195]
        [id=154, value=1958, weight=1758]
        [id=124, value=2936, weight=2536]
        [id=75, value=297, weight=197]
        [id=112, value=973, weight=873]
        [id=84, value=895, weight=795]
        [id=159, value=1916, weight=1716]
        [id=107, value=2084, weight=1884]
        [id=56, value=2114, weight=1914]
        [id=32, value=1086, weight=986]
        [id=109, value=770, weight=670]
        [id=2, value=1670, weight=1470]
        [id=180, value=1728, weight=1528]
        [id=102, value=2736, weight=2436]
        [id=177, value=606, weight=406]
        [id=190, value=2109, weight=1809]
        [id=115, value=697, weight=597]
        [id=138, value=258, weight=158]
        [id=44, value=232, weight=132]
        [id=48, value=472, weight=372]
        [id=70, value=1099, weight=999]
        [id=114, value=1017, weight=917]
        [id=7, value=1034, weight=834]
        [id=5, value=1087, weight=987]
        [id=69, value=1099, weight=999]
        [id=49, value=944, weight=744]
        [id=6, value=517, weight=417]
        [id=198, value=2259, weight=1959]
        [id=23, value=2952, weight=2652]
        [id=15, value=330, weight=130]
        [id=131, value=794, weight=694]
        [id=129, value=365, weight=265]
        [id=93, value=524, weight=424]
        [id=187, value=703, weight=603]
        [id=197, value=3012, weight=2612]
        [id=136, value=1974, weight=1774]
        [id=152, value=600, weight=400]
        [id=26, value=3316, weight=2916]
        [id=106, value=1042, weight=942]
        [id=50, value=691, weight=591]
        [id=78, value=461, weight=361]
        [id=164, value=789, weight=689]
        [id=172, value=686, weight=586]
        [id=155, value=220, weight=120]
        [id=17, value=176, weight=76]
        [id=74, value=139, weight=39]
Value=132038
Weight=112638
Execution Time:2036484 ns
=================== Backpack SOLUTION 5=============================
Number of objects=94
        [id=195, value=753, weight=653]
        [id=29, value=1326, weight=1126]
        [id=196, value=1506, weight=1306]
        [id=6, value=517, weight=417]
        [id=67, value=464, weight=264]
        [id=18, value=663, weight=563]
        [id=139, value=907, weight=807]
        [id=199, value=801, weight=701]
        [id=172, value=686, weight=586]
        [id=116, value=1394, weight=1194]
        [id=59, value=912, weight=712]
        [id=162, value=606, weight=406]
        [id=200, value=1602, weight=1402]
        [id=105, value=3285, weight=2985]
        [id=84, value=895, weight=795]
        [id=111, value=3080, weight=2680]
        [id=46, value=928, weight=528]
        [id=177, value=606, weight=406]
        [id=159, value=1916, weight=1716]
        [id=23, value=2952, weight=2652]
        [id=194, value=2042, weight=1842]
        [id=188, value=1406, weight=1206]
        [id=63, value=711, weight=611]
        [id=156, value=440, weight=240]
        [id=11, value=1260, weight=1060]
        [id=2, value=1670, weight=1470]
        [id=96, value=1063, weight=963]
        [id=197, value=3012, weight=2612]
        [id=114, value=1017, weight=917]
        [id=191, value=1021, weight=921]
        [id=70, value=1099, weight=999]
        [id=89, value=2664, weight=2364]
        [id=41, value=1776, weight=1576]
        [id=81, value=231, weight=131]
        [id=25, value=1658, weight=1458]
        [id=106, value=1042, weight=942]
        [id=157, value=660, weight=360]
        [id=75, value=297, weight=197]
        [id=130, value=365, weight=265]
        [id=127, value=874, weight=674]
        [id=170, value=1702, weight=1502]
        [id=72, value=2058, weight=1858]
        [id=55, value=1057, weight=957]
        [id=73, value=4116, weight=3716]
        [id=124, value=2936, weight=2536]
        [id=168, value=982, weight=882]
        [id=118, value=697, weight=597]
        [id=36, value=1917, weight=1617]
        [id=95, value=1572, weight=1272]
        [id=186, value=1044, weight=844]
        [id=82, value=462, weight=262]
        [id=175, value=543, weight=443]
        [id=185, value=2088, weight=1688]
        [id=115, value=697, weight=597]
        [id=145, value=1216, weight=816]
        [id=85, value=1790, weight=1590]
        [id=48, value=472, weight=372]
        [id=10, value=630, weight=530]
        [id=182, value=864, weight=764]
        [id=152, value=600, weight=400]
        [id=112, value=973, weight=873]
        [id=187, value=703, weight=603]
        [id=147, value=575, weight=475]
        [id=60, value=651, weight=551]
        [id=158, value=958, weight=858]
        [id=138, value=258, weight=158]
        [id=61, value=1302, weight=1102]
        [id=141, value=3628, weight=3228]
        [id=88, value=1776, weight=1576]
        [id=184, value=1044, weight=844]
        [id=57, value=2114, weight=1914]
        [id=47, value=464, weight=264]
        [id=22, value=1968, weight=1768]
        [id=3, value=3340, weight=2940]
        [id=71, value=1029, weight=929]
        [id=44, value=232, weight=132]
        [id=181, value=3456, weight=3056]
        [id=163, value=606, weight=406]
        [id=39, value=3580, weight=3180]
        [id=4, value=1087, weight=987]
        [id=26, value=3316, weight=2916]
        [id=142, value=2721, weight=2421]
        [id=192, value=2042, weight=1842]
        [id=108, value=2084, weight=1884]
        [id=97, value=2126, weight=1926]
        [id=101, value=3648, weight=3248]
        [id=49, value=944, weight=744]
        [id=173, value=1372, weight=1172]
        [id=30, value=1989, weight=1689]
        [id=107, value=2084, weight=1884]
        [id=58, value=456, weight=356]
        [id=90, value=575, weight=475]
        [id=16, value=495, weight=195]
        [id=74, value=139, weight=39]
Value=131285
Weight=112585
Execution Time:2009114 ns
=================== Backpack SOLUTION 6=============================
Number of objects=101
        [id=10, value=630, weight=530]
        [id=140, value=1814, weight=1614]
        [id=173, value=1372, weight=1172]
        [id=32, value=1086, weight=986]
        [id=170, value=1702, weight=1502]
        [id=58, value=456, weight=356]
        [id=177, value=606, weight=406]
        [id=114, value=1017, weight=917]
        [id=129, value=365, weight=265]
        [id=17, value=176, weight=76]
        [id=7, value=1034, weight=834]
        [id=122, value=734, weight=634]
        [id=100, value=1824, weight=1624]
        [id=40, value=888, weight=788]
        [id=75, value=297, weight=197]
        [id=164, value=789, weight=689]
        [id=44, value=232, weight=132]
        [id=63, value=711, weight=611]
        [id=145, value=1216, weight=816]
        [id=167, value=1664, weight=1464]
        [id=96, value=1063, weight=963]
        [id=144, value=608, weight=408]
        [id=198, value=2259, weight=1959]
        [id=110, value=1540, weight=1340]
        [id=117, value=2788, weight=2388]
        [id=133, value=2382, weight=2082]
        [id=30, value=1989, weight=1689]
        [id=35, value=2556, weight=2156]
        [id=14, value=165, weight=65]
        [id=192, value=2042, weight=1842]
        [id=190, value=2109, weight=1809]
        [id=118, value=697, weight=597]
        [id=54, value=1052, weight=952]
        [id=3, value=3340, weight=2940]
        [id=158, value=958, weight=858]
        [id=60, value=651, weight=551]
        [id=161, value=303, weight=203]
        [id=93, value=524, weight=424]
        [id=16, value=495, weight=195]
        [id=77, value=602, weight=502]
        [id=186, value=1044, weight=844]
        [id=142, value=2721, weight=2421]
        [id=127, value=874, weight=674]
        [id=15, value=330, weight=130]
        [id=46, value=928, weight=528]
        [id=36, value=1917, weight=1617]
        [id=124, value=2936, weight=2536]
        [id=68, value=696, weight=396]
        [id=166, value=832, weight=732]
        [id=73, value=4116, weight=3716]
        [id=57, value=2114, weight=1914]
        [id=150, value=1725, weight=1425]
        [id=91, value=1150, weight=950]
        [id=137, value=258, weight=158]
        [id=94, value=1048, weight=848]
        [id=141, value=3628, weight=3228]
        [id=62, value=1953, weight=1653]
        [id=121, value=1758, weight=1458]
        [id=163, value=606, weight=406]
        [id=160, value=3832, weight=3432]
        [id=66, value=232, weight=132]
        [id=111, value=3080, weight=2680]
        [id=28, value=663, weight=563]
        [id=99, value=912, weight=812]
        [id=107, value=2084, weight=1884]
        [id=76, value=602, weight=502]
        [id=55, value=1057, weight=957]
        [id=172, value=686, weight=586]
        [id=185, value=2088, weight=1688]
        [id=115, value=697, weight=597]
        [id=86, value=1790, weight=1590]
        [id=89, value=2664, weight=2364]
        [id=101, value=3648, weight=3248]
        [id=126, value=437, weight=337]
        [id=105, value=3285, weight=2985]
        [id=1, value=835, weight=735]
        [id=69, value=1099, weight=999]
        [id=199, value=801, weight=701]
        [id=119, value=586, weight=486]
        [id=24, value=829, weight=729]
        [id=193, value=4084, weight=3684]
        [id=157, value=660, weight=360]
        [id=97, value=2126, weight=1926]
        [id=155, value=220, weight=120]
        [id=20, value=1326, weight=1126]
        [id=85, value=1790, weight=1590]
        [id=168, value=982, weight=882]
        [id=106, value=1042, weight=942]
        [id=78, value=461, weight=361]
        [id=184, value=1044, weight=844]
        [id=148, value=1150, weight=950]
        [id=31, value=1086, weight=986]
        [id=13, value=1071, weight=971]
        [id=131, value=794, weight=694]
        [id=159, value=1916, weight=1716]
        [id=48, value=472, weight=372]
        [id=67, value=464, weight=264]
        [id=79, value=922, weight=722]
        [id=87, value=888, weight=788]
        [id=81, value=231, weight=131]
        [id=74, value=139, weight=39]
Value=132145
Weight=112645
